lineage_ID,source_cell_ID,target_cell_ID,LINK_COST,link_y,SPOT_TARGET_ID,EDGE_TIME,SPEED,DISPLACEMENT,DIRECTIONAL_CHANGE_RATE,SPOT_SOURCE_ID,link_x,link_z
0,9216,9290,0.39790014431917675,18.700692441696226,9290.0,92.5,0.08753340210195765,0.43766701050978823,0.5567997426620963,9216.0,15.77647350663074,0.0
0,9062,9051,0.5565438105133995,17.065684749491684,9051.0,52.5,0.06521660616333359,0.32608303081666795,0.30204094613748134,9062.0,16.867171098415724,0.0
0,9064,9052,0.5263772554091115,18.09478336899743,9052.0,52.5,0.06249135713084479,0.31245678565422397,0.3870276280229774,9064.0,16.8868824795124,0.0
0,9065,9053,0.5744260433621005,17.840100823207138,9053.0,52.5,0.05911367410787875,0.2955683705393938,0.10274715191900116,9065.0,13.29424444460342,0.0
0,9067,9055,0.46038526891228637,19.726640016926822,9055.0,52.5,0.11922188389641394,0.5961094194820697,0.049335396182387234,9067.0,12.35043289411444,0.0
0,9080,9118,0.3077096486874076,19.597305087856373,9118.0,67.5,0.021360993854496777,0.10680496927248388,0.5065529411174656,9080.0,12.832591210617458,0.0
0,9081,9119,0.4233413059168557,16.897955042733535,9119.0,67.5,0.1370884666035039,0.6854423330175196,0.018884264090135248,9081.0,14.826995788729523,0.0
0,9082,9120,0.4022716044220762,17.302011061853943,9120.0,67.5,0.11168808602557619,0.5584404301278809,0.086153571937944,9082.0,16.26000251989882,0.0
0,9084,9122,0.3108067050692749,18.468484032605392,9122.0,67.5,0.07772436360785877,0.38862181803929385,0.035587788867344136,9084.0,16.072278020522607,0.0
0,9086,9127,0.3211232685667441,22.399216005443748,9127.0,67.5,0.15947521949504098,0.7973760974752049,0.03447305185513768,9086.0,9.305909997715602,0.0
0,9090,9136,0.5408801011772681,16.027593978280173,9136.0,67.5,0.24239331432338873,1.2119665716169437,0.11068716494747541,9090.0,19.474636437575338,0.0
0,9091,9138,0.4990070736155301,16.71628016224005,9138.0,67.5,0.26243938235368286,1.3121969117684142,0.057900622102690626,9091.0,20.208018667013928,0.0
0,9095,9143,0.3146500214315856,19.47037994511166,9143.0,67.5,0.015174281697958767,0.07587140848979383,0.21591862624585553,9095.0,11.650929225246347,0.0
0,9096,9084,0.33084370870816415,18.66813058638881,9084.0,62.5,0.03962338645940628,0.1981169322970314,0.5788946444145825,9096.0,15.85873877263432,0.0
0,9102,9090,0.41484671543641805,16.4329255674743,9090.0,62.5,0.042776330387661536,0.2138816519383077,0.018580219334750896,9102.0,18.904882477502962,0.0
0,9103,9091,0.47708207434215955,17.25728159268555,9091.0,62.5,0.12356794192412572,0.6178397096206286,0.031291383903520854,9103.0,19.419533458031907,0.0
0,9055,9108,0.6963594325695541,20.18398227187422,9108.0,57.5,0.15415721627825268,0.7707860813912635,0.18653020667796766,9055.0,11.944159577550138,0.0
0,9104,9082,0.3574290321794822,17.572087214116173,9082.0,62.5,0.04178699010167612,0.20893495050838062,0.5395180280363667,9104.0,15.99742759472499,0.0
0,9053,9106,0.609442028309257,18.0109321533547,9106.0,57.5,0.08894942279399982,0.4447471139699991,0.40807337883385253,9053.0,13.183044997023902,0.0
0,9052,9096,0.7181983130047734,18.34233026594199,9096.0,57.5,0.27540061930332327,1.3770030965166162,0.4728892760920288,9052.0,16.35415889825858,0.0
0,9014,8986,0.5549246400605139,19.380694933481582,8986.0,7.5,0.08295233307762,0.4147616653881,0.1091234198822737,9014.0,14.09533897739585,0.0
0,9019,9123,0.5603701495241152,17.62677280545609,9123.0,32.5,0.3563015454303859,1.7815077271519295,0.1004599709435895,9019.0,15.058538666387678,0.0
0,9019,9121,0.6109693543534623,17.23887758414608,9121.0,32.5,0.2631312470108199,1.3156562350540995,0.5174630646486578,9019.0,16.557225002622964,0.0
0,9020,9124,0.5124986085448946,18.40084232382636,9124.0,32.5,0.2533918471679136,1.2669592358395678,0.04263215960555779,9020.0,15.989924238905832,0.0
0,9020,9126,0.5977777463622577,18.75741313884465,9126.0,32.5,0.40230873880406914,2.0115436940203457,0.5833570495274205,9020.0,14.389950427622669,0.0
0,9027,9062,0.2344978232349214,17.233547724550625,9062.0,47.5,0.012971333015215959,0.06485666507607979,0.14445638507535613,9027.0,16.85734879746503,0.0
0,9028,9065,0.37183309373315465,17.86531400051595,9065.0,47.5,0.058019367034576386,0.29009683517288193,0.08684833922163251,9028.0,13.576345702957727,0.0
0,9029,9064,0.22357338242791036,18.233332431617406,9064.0,47.5,0.032067807537662245,0.16033903768831123,0.00880161367814992,9029.0,16.938965277199372,0.0
0,9031,9067,0.4754789571014123,19.452724854489162,9067.0,47.5,0.13683793184609708,0.6841896592304854,0.0381404227512883,9031.0,12.923659650819587,0.0
0,9040,9027,0.2800628986830923,17.15545422402961,9027.0,42.5,0.08847289601934634,0.4423644800967317,0.523118524788534,9040.0,17.091095953196437,0.0
0,9041,9028,0.5388136840903067,17.877544282146197,9028.0,42.5,0.056392027926749376,0.2819601396337469,0.13188431188114952,9041.0,13.855392217473637,0.0
0,9042,9029,0.30263036452909053,18.20972279497142,9029.0,42.5,0.013970871703546717,0.06985435851773358,0.6046310135841696,9042.0,17.0515903759754,0.0
0,9043,9031,0.47655007429590823,19.215670808010664,9031.0,42.5,0.06104553253378682,0.3052276626689341,0.3297779410858803,9043.0,13.355688708874732,0.0
0,9051,9104,0.754973852990947,17.286825529670374,9104.0,57.5,0.24409034222523113,1.2204517111261557,0.4986258599991057,9051.0,16.42960755850506,0.0
